account_id,customer_id,account_type,balance
1,45,Savings,1000.50
2,12,Checking,2500.75
3,78,Savings,1500.00
4,34,Checking,3000.25
5,56,Savings,500.00
6,23,Checking,1200.50
7,89,Savings,800.75
8,67,Checking,2200.00
9,14,Savings,900.25
10,92,Checking,1800.50
11,3,Savings,1100.75
12,81,Checking,2700.00
13,29,Savings,1300.25
14,64,Checking,3200.50
15,47,Savings,700.75
16,18,Checking,1400.00
17,99,Savings,600.25
18,5,Checking,1600.50
19,76,Savings,400.75
20,21,Checking,2000.00
21,53,Savings,300.25
22,37,Checking,2400.50
23,88,Savings,200.75
24,11,Checking,2600.00
25,66,Savings,100.25
26,25,Checking,2800.50
27,94,Savings,50.75
28,7,Checking,2900.00
29,58,Savings,75.25
30,32,Checking,3100.50
31,71,Savings,125.75
32,9,Checking,3300.00
33,85,Savings,150.25
34,41,Checking,3500.50
35,62,Savings,175.75
36,27,Checking,3700.00
37,98,Savings,200.25
38,15,Checking,3900.50
39,74,Savings,225.75
40,19,Checking,4100.00
41,51,Savings,250.25
42,36,Checking,4300.50
43,83,Savings,275.75
44,13,Checking,4500.00
45,68,Savings,300.25
46,24,Checking,4700.50
47,95,Savings,325.75
48,6,Checking,4900.00
49,57,Savings,350.25
50,31,Checking,5100.50
51,72,Savings,375.75
52,10,Checking,5300.00
53,86,Savings,400.25
54,42,Checking,5500.50
55,63,Savings,425.75
56,28,Checking,5700.00
57,97,Savings,450.25
58,16,Checking,5900.50
59,75,Savings,475.75
60,20,Checking,6100.00
61,52,Savings,500.25
62,35,Checking,6300.50
63,84,Savings,525.75
64,12,Checking,6500.00
65,69,Savings,550.25
66,26,Checking,6700.50
67,96,Savings,575.75
68,8,Checking,6900.00
69,59,Savings,600.25
70,33,Checking,7100.50
71,73,Savings,625.75
72,17,Checking,7300.00
73,87,Savings,650.25
74,43,Checking,7500.50
75,61,Savings,675.75
76,22,Checking,7700.00
77,91,Savings,700.25
78,4,Checking,7900.50
79,55,Savings,725.75
80,30,Checking,8100.00
81,70,Savings,750.25
82,2,Checking,8300.50
83,82,Savings,775.75
84,40,Checking,8500.00
85,65,Savings,800.25
86,21,Checking,8700.50
87,93,Savings,825.75
88,1,Checking,8900.00
89,54,Savings,850.25
90,38,Checking,9100.50
91,77,Savings,875.75
92,44,Checking,9300.00
93,79,Savings,900.25
94,39,Checking,9500.50
95,60,Savings,925.75
96,48,Checking,9700.00
97,90,Savings,950.25
98,49,Checking,9900.50
99,80,Savings,975.75
100,50,Checking,10100.00
