loan_id,customer_id,loan_amount,interest_rate,loan_term
1,45,10000.50,5.5,36
2,12,20000.75,4.5,48
3,78,15000.00,6.0,60
4,34,30000.25,3.5,24
5,56,25000.00,5.0,36
6,23,17500.50,4.0,48
7,89,22500.75,6.5,60
8,67,27500.00,3.0,24
9,14,32500.25,5.5,36
10,92,37500.50,4.5,48
11,3,10000.75,6.0,60
12,81,20000.00,3.5,24
13,29,15000.25,5.0,36
14,64,30000.50,4.0,48
15,47,25000.75,6.5,60
16,18,17500.00,3.0,24
17,99,22500.25,5.5,36
18,5,27500.50,4.5,48
19,76,32500.75,6.0,60
20,21,37500.00,3.5,24
21,53,10000.25,5.0,36
22,37,20000.50,4.0,48
23,88,15000.75,6.5,60
24,11,30000.00,3.0,24
25,66,25000.25,5.5,36
26,25,17500.50,4.5,48
27,94,22500.75,6.0,60
28,7,27500.00,3.5,24
29,58,32500.25,5.0,36
30,32,37500.50,4.0,48
31,71,10000.75,6.5,60
32,9,20000.00,3.0,24
33,85,15000.25,5.5,36
34,41,30000.50,4.5,48
35,62,25000.75,6.0,60
36,27,17500.00,3.5,24
37,98,22500.25,5.0,36
38,15,27500.50,4.0,48
39,74,32500.75,6.5,60
40,19,37500.00,3.0,24
41,51,10000.25,5.5,36
42,36,20000.50,4.5,48
43,83,15000.75,6.0,60
44,13,30000.00,3.5,24
45,68,25000.25,5.0,36
46,24,17500.50,4.0,48
47,95,22500.75,6.5,60
48,6,27500.00,3.0,24
49,57,32500.25,5.5,36
50,31,37500.50,4.5,48
51,72,10000.75,6.0,60
52,10,20000.00,3.5,24
53,86,15000.25,5.0,36
54,42,30000.50,4.0,48
55,63,25000.75,6.5,60
56,28,17500.00,3.0,24
57,97,22500.25,5.5,36
58,16,27500.50,4.5,48
59,75,32500.75,6.0,60
60,20,37500.00,3.5,24
61,52,10000.25,5.0,36
62,35,20000.50,4.0,48
63,84,15000.75,6.5,60
64,12,30000.00,3.0,24
65,69,25000.25,5.5,36
66,26,17500.50,4.5,48
67,96,22500.75,6.0,60
68,8,27500.00,3.5,24
69,59,32500.25,5.0,36
70,33,37500.50,4.0,48
71,73,10000.75,6.5,60
72,17,20000.00,3.0,24
73,87,15000.25,5.5,36
74,43,30000.50,4.5,48
75,61,25000.75,6.0,60
76,22,17500.00,3.5,24
77,91,22500.25,5.0,36
78,4,27500.50,4.0,48
79,55,32500.75,6.5,60
80,30,37500.00,3.0,24
81,70,10000.25,5.5,36
82,2,20000.50,4.5,48
83,82,15000.75,6.0,60
84,40,30000.00,3.5,24
85,65,25000.25,5.0,36
86,21,17500.50,4.0,48
87,93,22500.75,6.5,60
88,1,27500.00,3.0,24
89,54,32500.25,5.5,36
90,38,37500.50,4.5,48
91,77,10000.75,6.0,60
92,44,20000.00,3.5,24
93,79,15000.25,5.0,36
94,39,30000.50,4.0,48
95,60,25000.75,6.5,60
96,48,17500.00,3.0,24
97,90,22500.25,5.5,36
98,49,27500.50,4.5,48
99,80,32500.75,6.0,60
100,50,37500.00,3.5,24
